regiao,ordem_regiao,municipio,ordem_municipio,total_realizado,total_previsto,faltante,percentual_cobertura,primeira_coleta,ultima_coleta
SERTÃO DO MOXOTÓ,1,Arcoverde,1,0,0,0,0.00,,
SERTÃO DO MOXOTÓ,1,Betânia,2,0,0,0,0.00,,
SERTÃO DO MOXOTÓ,1,Custódia,3,0,0,0,0.00,,
SERTÃO DO MOXOTÓ,1,Ibimirim,4,28,0,0,0.00,30/05/2026 06:17:09,08/06/2026 14:54:58
SERTÃO DO MOXOTÓ,1,Inajá,5,0,0,0,0.00,,
SERTÃO DO MOXOTÓ,1,Manari,6,68,0,0,0.00,13/05/2026 13:18:36,26/05/2026 15:43:37
SERTÃO DO MOXOTÓ,1,Sertânia,7,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Araripina,1,2,0,0,0.00,26/05/2026 16:48:59,29/05/2026 16:44:31
SERTÃO DO ARARIPE,2,Bodocó,2,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Exu,3,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Granito,4,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Ipubi,5,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Moreilândia,6,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Ouricuri,7,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Santa Cruz,8,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Santa Filomena,9,0,0,0,0.00,,
SERTÃO DO ARARIPE,2,Trindade,10,28,0,0,0.00,08/05/2026 08:57:10,23/05/2026 11:23:32
SERTÃO DO SÃO FRANCISCO,3,Afrânio,1,0,0,0,0.00,,
SERTÃO DO SÃO FRANCISCO,3,Cabrobó,2,0,0,0,0.00,,
SERTÃO DO SÃO FRANCISCO,3,Dormentes,3,0,0,0,0.00,,
SERTÃO DO SÃO FRANCISCO,3,Lagoa Grande,4,0,0,0,0.00,,
SERTÃO DO SÃO FRANCISCO,3,Orocó,5,42,0,0,0.00,05/05/2026 09:04:00,27/05/2026 10:11:28
SERTÃO DO SÃO FRANCISCO,3,Petrolina,6,0,0,0,0.00,,
SERTÃO DO SÃO FRANCISCO,3,Santa Maria da Boa Vista,7,0,0,0,0.00,,
SERTÃO DE ITAPARICA,4,Belém do São Francisco,1,0,0,0,0.00,,
SERTÃO DE ITAPARICA,4,Carnaubeira da Penha,2,0,0,0,0.00,,
SERTÃO DE ITAPARICA,4,Floresta,3,0,0,0,0.00,,
SERTÃO DE ITAPARICA,4,Itacuruba,4,1,0,0,0.00,02/06/2026 16:32:36,02/06/2026 16:32:36
SERTÃO DE ITAPARICA,4,Jatobá,5,6,0,0,0.00,03/06/2026 16:00:05,08/06/2026 09:23:19
SERTÃO DE ITAPARICA,4,Petrolândia,6,16,0,0,0.00,03/06/2026 14:13:43,08/06/2026 14:41:53
SERTÃO DE ITAPARICA,4,Tacaratu,7,0,0,0,0.00,,
